ATUALIZAR 																																										
ID	C?digo (SKU)	Descri??o	Unidade	Classifica??o fiscal	Origem	Pre?o	Valor IPI fixo	Observa??es	Situa??o	Estoque	Pre?o de custo	C?d do Fornecedor	Fornecedor	Localiza??o	Estoque m?ximo	Estoque m?nimo	Peso l?quido (Kg)	Peso bruto (Kg)	GTIN/EAN	GTIN/EAN tribut?vel	Descri??o complementar	CEST	C?digo de Enquadramento IPI	Formato embalagem	Largura embalagem	Altura embalagem	Comprimento embalagem	Di?metro embalagem	Tipo do produto	URL imagem 1	URL imagem 2	URL imagem 3	URL imagem 4	URL imagem 5	URL imagem 6	Categoria	C?digo do pai	Varia??es	Marca	Garantia	Sob encomenda	Pre?o promocional
592036449	901374	ADAPTADOR DE FREIO V-BRAKE ZINCADO TRASEIRO | 901374	Par	8714.99.90	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	29	0	W SUL 01/20;ISAPA 04/20;CAIRU 03/21;w sul 12/21;	Ativo	3	17.39				0	1	0	0	7896482603593		<p>PIVO TRASEIRO CANTILEVER COM ABRACADEIRA (PAR) - JKS</p>			Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/a9550ef218663c03c5204172c9f3ffb1.jpg	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/31c2c06dff86c8bdad4e1113fefa4790.jpg	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/d8a4408646bb2774808ddd66f67728f8.jpeg				Pe?as e Componentes > Freios > Outros			JKS		N?o	0
592031908	171	ADAPTADOR DE VALVULA PRESTA ALUM?NIO LONGO | 000171	Un	8512.10.00	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	8	0	ISAPA 01/20;ALUMINIO	Ativo	7	4.91				0	5	0	0							0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/d97dbc355d5623cfc4d11c9948d1647d.jpeg						Acess?rios/Bikes > Outros Acess?rios			High One		N?o	0
592030713	53129	ADAPTADOR DE VALVULA PRESTA ALUMINIO | 053129	Un	8714.91.00	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	4	0		Ativo	134	1.99				0	5	0	0	7899651803749		<p>Bico Adaptador V?lvula Presta C?mara Ar Bike Para Schrader</p> <p> </p> <p>- Marca: Wg</p> <p>- Modelo: Bico Adaptador de v?lvula com Retentor</p> <p>- Quantidade: 2 unidades</p>			Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/e2780edeeb2421a1a4f3617c2718ffa6.jpeg	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/5bd846d6dfe9a1233f748442ed608863.jpg					Acess?rios/Bikes > Outros Acess?rios			WG SPORTS		N?o	0
592034864	3608	AGULHA DE ENCHER BOLA | 003608	Un	8714.91.00	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	4	0	;	Ativo	2	1.5				0	0	0	0							0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/1b18fc1fbe24af5984a58aecf562dd97.jpeg									CHINA		N?o	0
624375822	9533	ALAV-CAMBIO SUNRUN RAPID FIRE 2X9 18V SL-M500 | 09533	PR	8714.99.10	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	57	0		Ativo	2	34.14	9533	JULIO ANDO & CIA LTDA		0	0	0.29	0.29	7908005915493		<p>- MARCA: SUNRUN</p> <p>- MODELO: SL-M500 RAPID FIRE 18 VELOCIDADES</p> <p>- PASSADOR DIREITO: 9 VELOCIDADES</p> <p>- PASSADOR ESQUERDO: 2 VELOCIDADES</p> <p>- ALAVANCA RAPID FIRE COM VISOR</p> <p>- TROCA PRECISA COM SISTEMA INDEX</p> <p>- MATERIAL: ALUMINIO, A?O E PLASTICO</p> <p>- ACOMPANHA CABOS DE CAMBIO, N?O INCLUI MANETES DE FREIO</p> <p>- PESO: 290G</p> <p>- COR: PRETO</p>			Pacote / Caixa	11	6	16	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/f108f60ce2c4301b2d77291cf302d119.jpg	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/664db86489e7ab65f4bf1c1e557b041e.jpg	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/35d23c7a5f51dc84dd211693e7dd4842.jpg	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/bc16f56883510b2116fad9d4bcdd7b65.jpg	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/524e94da70767fc84b09ace8529f75ee.jpg		Pe?as e Componentes > Cambios > Alavancas/Trocadores			SUNRUN		N?o	0
624375806	9443	ALAV-CAMBIO SUNRUN RAPID FIRE 3X7 21V C/CABOS | 09443	PR	8714.99.10	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	47	0		Ativo	5	28.29	9443	JULIO ANDO & CIA LTDA		0	0	0.288	0.288	7908005914540		<p>- MARCA: SUNRUN</p> <p>- MODELO: RAPID FIRE 21 VELOCIDADES</p> <p>- PASSADOR DIREITO: 7 VELOCIDADES</p> <p>- PASSADOR ESQUERDO: 3 VELOCIDADES</p> <p>- ALAVANCA RAPID FIRE COM VISOR</p> <p>- TROCA PRECISA COM SISTEMA INDEX</p> <p>- MATERIAL: ALUM?NIO, RESINA</p> <p>- ACOMPANHA CABOS DE CAMBIO, N?O INCLUI MANETES DE FREIO</p> <p>- PESO: 288G</p> <p>- COR: PRETO</p>			Pacote / Caixa	11	6	16	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/5f0a9cebca68e6d5b33a2fa1e43a4548.jpg	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/2a2ef9af6dc65117068847dc994ca385.jpg					Pe?as e Componentes > Cambios > Alavancas/Trocadores			SUNRUN		N?o	0
592036634	9304	ALAVANCAS DE CAMBIO ALUM?NIO PACO 18V | 009304	Par	8714.99.90	0 - Nacional, exceto as indicadas nos c?digos 3 a 5	15	0	ISAPA 10/19;ISAPA 04/20;J ANDO 09/21;	Ativo	10	7.82				0	2	0	0						Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/147965874545ff072ef7bda6db485557.webp	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/79be2cf4b272633c1db48c6789d41f4d.webp					Pe?as e Componentes > Cambios > Alavancas/Trocadores			PACO		N?o	0
592034713	12389	ALAVANCAS DE CAMBIO ALUM?NIO VELOFORCE | 012389	Par	8714.91.00	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	19	0	jr 08/21;	Ativo	3	11.9				0	0	0	0							0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/778252241aa2ee0ff1a81b8219da5c93.jpeg						Pe?as e Componentes > Cambios > Alavancas/Trocadores			VELOFORCE		N?o	0
592035804	709305	ALAVANCAS DE CAMBIO NYLON PACO 18V / 21V | 709305	Par	8714.99.90	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	12	0	JULIO AND? 05/19;ISAPA 11/19;J ANDO 09/21;	Ativo	30	7.34				0	5	0	0						Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/e53a0386d54b87cb5647ce8234184115.webp	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/188aa45f6befeb8e9224036f96e0529d.webp	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/63e2deffe1c1d415df08d96ecac275f7.webp				Pe?as e Componentes > Cambios > Alavancas/Trocadores			PACO		N?o	0
592034697	11879	ALAVANCAS DE CAMBIO NYLON VELOFORCE | 011879	Par	8714.91.00	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	17	0	jr 08/21;	Ativo	3	10.5				0	0	0	0							0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/9fc3637c565844aaef102ae0528d3e89.jpeg						Pe?as e Componentes > Cambios > Alavancas/Trocadores			VELOFORCE		N?o	0
