row_number,store_code,id,price,availability
494,1,44363,20,in_stock
495,1,44366,25,in_stock
496,1,44958,25,in_stock
497,1,382,15,in_stock
498,1,56678,125,in_stock
499,1,50886,105,in_stock
500,1,7279,35,out_of_stock
501,1,292,25,in_stock
502,1,1161,170,in_stock
503,1,7588,100,in_stock
504,1,140,35,in_stock
505,1,1129,20,in_stock
506,1,9104,15,out_of_stock
507,1,580,20,in_stock
508,1,51078,85,in_stock
509,1,9861,20,in_stock
510,1,131,20,in_stock
511,1,172,15,in_stock
512,1,939,30,in_stock
513,1,108,60,out_of_stock
514,1,8244,20,out_of_stock
515,1,9610,20,out_of_stock
516,1,51944,45,in_stock
517,1,59652,50,in_stock
518,1,9333,25,out_of_stock
519,1,53211,5,in_stock
520,1,8104,5,in_stock
521,1,4959,85,in_stock
522,1,10003,70,in_stock
523,1,1154,40,in_stock
524,1,9443,65,out_of_stock
525,1,43173,25,out_of_stock
526,1,54991,15,in_stock
527,1,4667,15,in_stock
528,1,5521,25,in_stock
529,1,4434,15,in_stock
530,1,8932,220,in_stock
531,1,44154,65,in_stock
532,1,2410,40,in_stock
533,1,6256,100,in_stock
534,1,1321,65,in_stock
535,1,6047,10,in_stock
536,1,3997,30,in_stock
537,1,50168,160,in_stock
538,1,3999,40,in_stock
539,1,835,5,in_stock
540,1,186,35,in_stock
541,1,764,5,in_stock
542,1,757,5,in_stock
543,1,624,5,in_stock
544,1,8184,5,in_stock
545,1,4,70,out_of_stock
546,1,778,5,in_stock
547,1,813,10,out_of_stock
548,1,39872,30,in_stock
549,1,42997,15,in_stock
550,1,9103,190,in_stock
551,1,564,60,out_of_stock
552,1,4087,40,out_of_stock
553,1,9728,10,out_of_stock
554,1,44363,20,in_stock
555,1,44366,25,in_stock
556,1,44958,25,in_stock
557,1,382,15,in_stock
558,1,56678,125,in_stock
559,1,50886,105,in_stock
560,1,7279,35,out_of_stock
561,1,292,25,in_stock
562,1,1161,170,in_stock
563,1,7588,100,in_stock
564,1,140,35,in_stock
565,1,1129,20,in_stock
566,1,9104,15,out_of_stock
567,1,580,20,in_stock
568,1,51078,85,in_stock
569,1,9861,20,in_stock
570,1,131,20,in_stock
571,1,172,15,in_stock
572,1,939,30,in_stock
573,1,108,60,out_of_stock
574,1,8244,20,out_of_stock
575,1,9610,20,out_of_stock
576,1,51944,45,in_stock
577,1,59652,50,in_stock
578,1,9333,25,out_of_stock
579,1,53211,5,in_stock
580,1,8104,5,in_stock
581,1,4959,85,in_stock
582,1,10003,70,in_stock
583,1,1154,40,in_stock
584,1,9443,65,out_of_stock
585,1,43173,25,out_of_stock
586,1,54991,15,in_stock
587,1,11985,10,in_stock
588,1,4667,15,in_stock
589,1,5521,25,in_stock
590,1,4434,15,in_stock
591,1,8932,220,in_stock
592,1,44154,65,in_stock
593,1,2410,40,in_stock
594,1,6256,100,in_stock
595,1,1321,65,in_stock
596,1,6047,10,in_stock
597,1,3997,30,in_stock
598,1,50168,160,in_stock
599,1,3999,40,in_stock
600,1,835,5,in_stock
601,1,186,35,in_stock
602,1,764,5,in_stock
603,1,757,5,in_stock
604,1,624,5,in_stock
605,1,8184,5,in_stock
606,1,4,70,out_of_stock
607,1,778,5,in_stock
608,1,813,10,out_of_stock
609,1,39872,30,in_stock
610,1,42997,15,in_stock
611,1,9103,190,in_stock
612,1,564,60,out_of_stock
613,1,4087,40,out_of_stock
614,1,9728,10,out_of_stock
615,1,44363,20,in_stock
616,1,44366,25,in_stock
617,1,44958,25,in_stock
618,1,382,15,in_stock
619,1,56678,125,in_stock
620,1,50886,105,in_stock
621,1,7279,35,out_of_stock
622,1,292,25,in_stock
623,1,1161,170,in_stock
624,1,7588,100,in_stock
625,1,140,35,in_stock
626,1,1129,20,in_stock
627,1,9104,15,out_of_stock
628,1,580,20,in_stock
629,1,51078,85,in_stock
630,1,9861,20,in_stock
631,1,131,20,in_stock
632,1,172,15,in_stock
633,1,939,30,in_stock
634,1,108,60,out_of_stock
635,1,8244,20,out_of_stock
636,1,9610,20,out_of_stock
637,1,51944,45,in_stock
638,1,59652,50,in_stock
639,1,9333,25,out_of_stock
640,1,53211,5,in_stock
641,1,8104,5,in_stock
642,1,4959,85,in_stock
643,1,10003,70,in_stock
644,1,1154,40,in_stock
645,1,9443,65,out_of_stock
646,1,4667,15,in_stock
647,1,5521,25,in_stock
648,1,4434,15,in_stock
649,1,8932,220,in_stock
650,1,44154,65,in_stock
651,1,2410,40,in_stock
652,1,6256,100,in_stock
653,1,1321,65,in_stock
654,1,6047,10,in_stock
655,1,3997,30,in_stock
656,1,50168,160,in_stock
657,1,3999,40,in_stock
658,1,835,5,in_stock
659,1,186,35,in_stock
660,1,764,5,in_stock
661,1,757,5,in_stock
662,1,624,5,in_stock
663,1,8184,5,in_stock
664,1,4,70,out_of_stock
665,1,778,5,in_stock
666,1,813,10,out_of_stock
667,1,39872,30,in_stock
668,1,42997,15,in_stock
669,1,9103,190,in_stock
670,1,564,60,out_of_stock
671,1,4087,40,out_of_stock
672,1,9728,10,out_of_stock
673,1,44363,20,in_stock
674,1,44366,25,in_stock
675,1,44958,25,in_stock
676,1,382,15,in_stock
677,1,56678,125,in_stock
678,1,50886,105,in_stock
679,1,7279,35,out_of_stock
680,1,292,25,in_stock
681,1,1161,170,in_stock
682,1,7588,100,in_stock
683,1,140,35,in_stock
684,1,1129,20,in_stock
685,1,9104,15,out_of_stock
686,1,580,20,in_stock
687,1,51078,85,in_stock
688,1,9861,20,in_stock
689,1,131,20,in_stock
690,1,172,15,in_stock
691,1,939,30,in_stock
692,1,108,60,out_of_stock
693,1,8244,20,out_of_stock
694,1,9610,20,out_of_stock
695,1,51944,45,in_stock
696,1,59652,50,in_stock
697,1,9333,25,out_of_stock
698,1,53211,5,in_stock
699,1,8104,5,in_stock
700,1,4959,85,in_stock
701,1,10003,70,in_stock
702,1,1154,40,in_stock
703,1,9443,65,out_of_stock
704,1,43173,25,out_of_stock
705,1,54991,15,in_stock
706,1,11985,10,in_stock
707,1,4667,15,in_stock
708,1,5521,25,in_stock
709,1,4434,15,in_stock
710,1,8932,220,in_stock
711,1,44154,65,in_stock
712,1,2410,40,in_stock
713,1,6256,100,in_stock
714,1,1321,65,in_stock
